"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"349461387963154432","","","349431592978104321","176721126","2013-06-25 09:37:42 +0000","web","RT @labyrinth17: 正直こういう話題Twitterでぐちぐちやるの、会津大学の汚点だからやめてくれませんかね、話があるなら直接どうぞ。敵対的な意味でもなく、疑問や提案に対してこちらで考慮したり回答する準備はございますので。"
"349015498018668545","","","","","2013-06-24 04:05:53 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","「時間をたくさん費やした＝頑張った」みたいな勘違いはやめましょう。"
"348830364149624832","","","","","2013-06-23 15:50:14 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","頭弱そうだよね"
"348819209381351426","","","","","2013-06-23 15:05:55 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","昨日の深夜ラーメン速報です(忘れてた) http://t.co/CuB2tkMcoA","http://twitter.com/takuti/status/348819209381351426/photo/1"
"348796982489387008","","","","","2013-06-23 13:37:35 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","目覚めたら新幹線が停車してて窓の外には郡山の文字が見えるこのスーパーエキサイティングな感じ。"
"348795605696536576","","","","","2013-06-23 13:32:07 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","新幹線乗り過ごし寸前を体感した。 (@ 郡山駅 (Koriyama Sta.) w/ 3 others) http://t.co/DlOI8UBTwr","http://4sq.com/171I5f9"
"348784512458706944","","","","","2013-06-23 12:48:02 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","やまびこ快適すぎ"
"348783733337387008","","","","","2013-06-23 12:44:56 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at 仙台駅 (Sendai Sta.) (仙台市青葉区, 宮城県) w/ 11 others http://t.co/yOvwHg8SDm","http://4sq.com/10d47tt"
"348752265240248321","","","","","2013-06-23 10:39:54 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at SK7 Bistro &amp; Bar (仙台市宮城野区, 宮城県) http://t.co/z4BKKswZoz","http://4sq.com/10cQ3QK"
"348483543963418625","348335275891630080","176721126","","","2013-06-22 16:52:06 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@labyrinth17 @Takabatake_Y @motoki_uzu ごめん次の土日は東京だ…"
"348065303860768768","","","","","2013-06-21 13:10:09 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","たんたん http://t.co/d1vEpj8BP2","http://twitter.com/takuti/status/348065303860768768/photo/1"
"348065283191234560","","","","","2013-06-21 13:10:05 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","牛たん http://t.co/JET5pKcLm5","http://twitter.com/takuti/status/348065283191234560/photo/1"
